,filename,total_words,unique_words
0,data/100_english_novels/Cbronte_Villette_1853.txt,196557,29084
1,data/100_english_novels/Forster_Angels_1905.txt,50477,9464
2,data/100_english_novels/Woolf_Lighthouse_1927.txt,70185,11157
3,data/100_english_novels/Meredith_Richmond_1871.txt,214985,28892
4,data/100_english_novels/Stevenson_Treasure_1883.txt,68448,10831
5,data/100_english_novels/Forster_Howards_1910.txt,111057,17065
6,data/100_english_novels/Wcollins_Basil_1852.txt,118088,14586
7,data/100_english_novels/Schreiner_Undine_1929.txt,90672,11744
8,data/100_english_novels/Galsworthy_Man_1906.txt,110455,16713
9,data/100_english_novels/Corelli_Innocent_1914.txt,121950,19627
10,data/100_english_novels/Kipling_Light_1891.txt,72479,12493
11,data/100_english_novels/Conrad_Nostromo_1904.txt,172276,21884
12,data/100_english_novels/Stevenson_Arrow_1888.txt,80291,13168
13,data/100_english_novels/Hardy_Tess_1891.txt,151197,20955
14,data/100_english_novels/Thackeray_Esmond_1852.txt,187049,21375
15,data/100_english_novels/Doyle_Lost_1912.txt,76281,12621
16,data/100_english_novels/Trollope_Angel_1881.txt,217694,18023
17,data/100_english_novels/Gissing_Warburton_1903.txt,85093,12864
18,data/100_english_novels/Barclay_Rosary_1909.txt,105920,15223
19,data/100_english_novels/Eliot_Daniel_1876.txt,311335,28606
20,data/100_english_novels/James_Tragic_1890.txt,210553,21589
21,data/100_english_novels/Doyle_Micah_1889.txt,177917,23564
22,data/100_english_novels/Dickens_Bleak_1853.txt,357936,30797
23,data/100_english_novels/Woolf_Night_1919.txt,167075,19055
24,data/100_english_novels/Braddon_Audley_1862.txt,148763,18055
25,data/100_english_novels/Bennet_Babylon_1902.txt,68397,11529
26,data/100_english_novels/Kipling_Kim_1901.txt,107663,17998
27,data/100_english_novels/Lytton_What_1858.txt,338512,38658
28,data/100_english_novels/Meredith_Marriage_1895.txt,156151,24931
29,data/100_english_novels/Corelli_Satan_1895.txt,169571,22058
30,data/100_english_novels/Haggard_Mines_1885.txt,82948,12373
31,data/100_english_novels/Stevenson_Catriona_1893.txt,102106,13816
32,data/100_english_novels/Doyle_Hound_1902.txt,59639,9393
33,data/100_english_novels/Chesterton_Innocence_1911.txt,79361,13458
34,data/100_english_novels/Blackmore_Lorna_1869.txt,273259,25408
35,data/100_english_novels/Haggard_Sheallan_1921.txt,121506,13669
36,data/100_english_novels/Gaskell_Wives_1865.txt,270014,23203
37,data/100_english_novels/Cbronte_Jane_1847.txt,189103,25762
38,data/100_english_novels/Wcollins_Legacy_1889.txt,120704,13383
39,data/100_english_novels/Morris_Roots_1890.txt,154305,14085
40,data/100_english_novels/Burnett_Garden_1911.txt,81043,8939
41,data/100_english_novels/Ford_Post_1926.txt,72055,12728
42,data/100_english_novels/Thackeray_Pendennis_1850.txt,359496,34188
43,data/100_english_novels/James_Roderick_1875.txt,132759,17715
44,data/100_english_novels/Haggard_She_1887.txt,113770,15269
45,data/100_english_novels/Galsworthy_River_1933.txt,89871,13114
46,data/100_english_novels/Morris_Wood_1894.txt,49983,6890
47,data/100_english_novels/Barclay_Postern_1911.txt,40015,7921
48,data/100_english_novels/Conrad_Almayer_1895.txt,63257,10344
49,data/100_english_novels/Thackeray_Virginians_1859.txt,356604,34367
50,data/100_english_novels/Bennet_Helen_1910.txt,52644,10251
51,data/100_english_novels/Lee_Brown_1884.txt,48242,9369
52,data/100_english_novels/Lawrence_Women_1920.txt,183180,22055
53,data/100_english_novels/Schreiner_Farm_1883.txt,100645,13501
54,data/100_english_novels/Lytton_Novel_1853.txt,456592,42679
55,data/100_english_novels/Lawrence_Peacock_1911.txt,124497,18254
56,data/100_english_novels/Schreiner_Trooper_1897.txt,24612,4832
57,data/100_english_novels/Cbronte_Shirley_1849.txt,218572,29500
58,data/100_english_novels/James_Ambassadors_1903.txt,167555,17390
59,data/100_english_novels/Lawrence_Serpent_1926.txt,172356,21246
60,data/100_english_novels/Braddon_Quest_1871.txt,174199,17608
61,data/100_english_novels/Dickens_Oliver_1839.txt,159489,20367
62,data/100_english_novels/Trollope_Warden_1855.txt,72102,11464
63,data/100_english_novels/Barclay_Ladies_1917.txt,122382,15657
64,data/100_english_novels/Ward_Harvest_1920.txt,75043,13264
65,data/100_english_novels/Blackmore_Erema_1877.txt,167016,18885
66,data/100_english_novels/Wcollins_Woman_1860.txt,247078,19959
67,data/100_english_novels/Hardy_Madding_1874.txt,138440,20378
68,data/100_english_novels/Lee_Penelope_1903.txt,21840,5325
69,data/100_english_novels/Eliot_Adam_1859.txt,216651,21482
70,data/100_english_novels/Gaskell_Lovers_1863.txt,191037,21087
71,data/100_english_novels/Corelli_Romance_1886.txt,100526,15923
72,data/100_english_novels/Conrad_Rover_1923.txt,88101,11978
73,data/100_english_novels/Gissing_Women_1893.txt,139234,16912
74,data/100_english_novels/Woolf_Years_1937.txt,130903,16701
75,data/100_english_novels/Trollope_Phineas_1869.txt,266634,19592
76,data/100_english_novels/Lytton_Kenelm_1873.txt,193074,24678
77,data/100_english_novels/Blackmore_Springhaven_1887.txt,202113,23115
78,data/100_english_novels/Forster_View_1908.txt,67930,12114
79,data/100_english_novels/Eliot_Felix_1866.txt,182816,22340
80,data/100_english_novels/Chesterton_Napoleon_1904.txt,54920,10847
81,data/100_english_novels/Bennet_Imperial_1930.txt,255975,29278
82,data/100_english_novels/Burnett_Princess_1905.txt,66877,9037
83,data/100_english_novels/Ward_Milly_1881.txt,47588,6688
84,data/100_english_novels/Ford_Girl_1907.txt,35708,7092
85,data/100_english_novels/Meredith_Feverel_1859.txt,168781,24576
86,data/100_english_novels/Lee_Albany_1884.txt,62913,11628
87,data/100_english_novels/Ford_Soldier_1915.txt,76750,10626
88,data/100_english_novels/Ward_Ashe_1905.txt,141832,21292
89,data/100_english_novels/Morris_Water_1897.txt,147737,12079
90,data/100_english_novels/Galsworthy_Saints_1919.txt,95156,14582
91,data/100_english_novels/Gissing_Unclassed_1884.txt,124877,15769
92,data/100_english_novels/Anon_Clara_1864.txt,197620,24797
93,data/100_english_novels/Hardy_Jude_1895.txt,147273,19237
94,data/100_english_novels/Dickens_Expectations_1861.txt,186804,20536
95,data/100_english_novels/Chesterton_Thursday_1908.txt,58299,10385
96,data/100_english_novels/Burnett_Lord_1886.txt,58698,8131
97,data/100_english_novels/Braddon_Phantom_1883.txt,180676,22474
98,data/100_english_novels/Gaskell_Ruth_1855.txt,161797,18148
99,data/100_english_novels/Kipling_Captains_1896.txt,53467,11709
